#Nº Operación,Fase,Data,Importe,Saldo,Exercicio,Orgánica,Programa,Económica,Terceiro,Nome Ter.,Texto Libre,C.Xestor,Forma de Pago
220141000007,R,2014-01-03,2500,2500,2013,090,13400,48900,G15556335,AGRUPACION DE VOLUNTARIOS DE PROTECCION CIVIL DE SANTIAGO,CONVENIO PARA O OUTORGAMENTO SUBVENCION A AGRUPACIÓN DE VOLUNTARIOS DE PROTECCIÓN CIVIL. X.G. 30-12-2013,-,03 - Transferencia Bancaria
220141000007,R,2014-01-03,2700,2700,2013,090,13400,48900,G15556335,AGRUPACION DE VOLUNTARIOS DE PROTECCION CIVIL DE SANTIAGO,CONVENIO PARA O OUTORGAMENTO SUBVENCION A AGRUPACIÓN DE VOLUNTARIOS DE PROTECCIÓN CIVIL. X.G. 30-12-2013,-,03 - Transferencia Bancaria
220141000237,R,2014-01-14,4509.67,4509.67,2013,130,33601,60900,B15046253,ARMESA SL,REPARACIÓN  E PINTADO  VARANDAL XARDINS DAS ESCALEIRAS DA COSTA VELLA,-,03 - Transferencia Bancaria
220141000238,R,2014-01-14,10489.8,10489.8,2013,130,33601,60900,B15046253,ARMESA SL,"FABRICACIÓN E COLOCACIÓN DE VARANDAS  NA RÚA RAXOI, ARCO DO PALACIO E VIA SACRA",-,03 - Transferencia Bancaria
220141000239,R,2014-01-14,253.41,253.41,2013,040,34200,21200,A36650992,ASCENSORES ENOR SA,MES DECEMBRO 2013.- SERVIZO CONSERVACIÓN ASCENSOR NO PAVILLÓN FONTES DO SAR,-,03 - Transferencia Bancaria
220141000240,R,2014-01-14,332.15,332.15,2013,040,34200,21200,A36650992,ASCENSORES ENOR SA,MES DECEMBRO 2013.- SERVIZO CONSERVACIÓN ASCENSOR NO ESTADIO MULTIUSOS DE SAN LÁZARO,-,03 - Transferencia Bancaria
220141000241,R,2014-01-14,925.4,925.4,2013,040,34200,21200,33264470F,BARONA MOURULLO J CARLOS,TRABALLOS DE TAPICERÍA NO XIMNASIO E DESPACHO DO CONCELLEIRO NO ESTADIO DE SAN LÁZARO,-,03 - Transferencia Bancaria
220141000242,R,2014-01-14,5999.18,5999.18,2013,100,92000,16200,B83553438,BENANDIER SL,"HONORARIOS PREPARACIÓN /IMPARTICIÓN DE 32 HORAS ACCIÓN FORMATIVA """" HABILIDADES DIRECT. DIRIXIDAS PROFESIONAIS CONCELLO",-,03 - Transferencia Bancaria
220141000243,R,2014-01-14,5278.93,5278.93,2013,090,13200,22706,B15681703,CAMINO Y GERMIL TECNICOS ASOCIADOS SL,REDACIÓN DUN ESTUDO PARA SUSTITUCIÓN SINALIZACIÓN VERTICAL DOS NÚCLEOS RURAIS DO CONCELLO,-,03 - Transferencia Bancaria
220141000244,R,2014-01-14,3000,3000,2013,110,43300,22698,Q1573004G,CAMARA OFICIAL DE COMERCIO INDUSTRIA Y NAVEGACION DE SANTIAGO,ORGANIZACIÓN E IMPARTICIÓN DE 7 XORNADAS DE FOMENTO DO ESPIRITO EMPRENDEDOR NA ESCOLA,-,03 - Transferencia Bancaria
220141000245,R,2014-01-14,101.16,101.16,2013,040,34200,21200,A82741067,CESPA COMPAÑIA ESPAÑOLA DE SERVICIOS PUBLICOS AUXILIARES SA,TRABALLOS  LIMPEZA DA CUBERTA VERDE DO PAVILLÓN MPAL. DA RÚA FONTIÑAS NO MES DE NOVEMBRO 2013,-,03 - Transferencia Bancaria
220141000246,R,2014-01-14,18755,18755,2013,080,45400,22712,A33526369,DESARROLLO DE ESTRATEGIAS EXTERIORES SA,ELABORACIÓN DUN PLAN DE DESARROLLO  RURAL PARA O CONCELLO DE SANTIAGO,-,03 - Transferencia Bancaria
220141000247,R,2014-01-14,314.6,314.6,2013,100,92000,22602,A15000391,EDITORIAL COMPOSTELA SA,INSERCIÓN ANUNCIO CON DATA 04.12.2013  CORRECIÓN ERROS FICHA D-070  E CREACIÓN FICHA D-070 BIS ( PAZO DE LERMO ),-,03 - Transferencia Bancaria
220141000248,R,2014-01-14,314.6,314.6,2013,100,92000,22602,A15000391,EDITORIAL COMPOSTELA SA,INSERCIÓN ANUNCIO CON DATA 04.12.2013   INFORMACIÓN PÚBLICA DO ESTUDO DE DETALLE CASAS RAMIREZ,-,03 - Transferencia Bancaria
220141000249,R,2014-01-14,211.4,211.4,2013,040,34200,21200,B15449937,FERRETERIA BOEL SL,MATERIAL FERRAXERÍA  PARA DEPARTAMENTO DE DEPORTES,-,03 - Transferencia Bancaria
220141000250,R,2014-01-14,848.29,848.29,2013,040,34200,21200,B15449937,FERRETERIA BOEL SL,MATERIAL FERRAXERÍA PARA DEPARTAMENTO DE DEPORTES,-,03 - Transferencia Bancaria
220141000251,R,2014-01-14,607.5,607.5,2013,010,91201,22601,G84451087,FUNDACION UNICEF COMITE ESPAÑOL,"TARX.PLANA """"B"""" COPO NEVE SOFISTICADO ( 450 UND ) E SOBRES COR CREMA (TARXETAS FELICITACIÓN )",-,03 - Transferencia Bancaria
220141000252,R,2014-01-14,290.4,290.4,2013,010,91201,22601,B15588049,G64 COMUNICACION SL,EQUIPO DE SON PARA C. BOISACA O DIA 09 DE DECEMBRO 2013 RODA DE PRENSA E PRESENTACIÓN,-,03 - Transferencia Bancaria
220141000253,R,2014-01-14,100,100,2013,040,23202,22698,32808578K,GALLEGO GUISAN FRANCISCO,GRATIFICACIÓN XURADO 1º CERTAME FOTOGRAFÍA CO MÓBIL FOTO CON SENTIMENTO ( CONCELLARÍA DE XUVENTUDE),-,03 - Transferencia Bancaria
220141000254,R,2014-01-14,28.51,28.51,2013,140,24100,22699,A08431090,GAS NATURAL SERVICIOS SDG SA,FACTURACIÓN CONSUMO GAS EDIFICIO CERSIA PERIODO: 09/04/2011 - 08/06/2011,-,03 - Transferencia Bancaria
220141000255,R,2014-01-14,38.55,38.55,2013,090,13400,22103,A08431090,GAS NATURAL SERVICIOS SDG SA,FACTURACIÓN CONSUMO GAS EN SAN LÁZARO ( LOCAL PROTECCIÓN CIVIL ) PERIODO: 23/07/2010 - 23/09/2010,-,03 - Transferencia Bancaria
220141000256,R,2014-01-14,183.96,183.96,2013,040,34900,22103,A08431090,GAS NATURAL SERVICIOS SDG SA,CONSUMO GAS NA RUA ESCULTOR CAMILO OTERO  ( POLIDEPORTIVO RESTOLLAL  ) PERIODO: 24.10.2012 - 22.11.2012,-,03 - Transferencia Bancaria
220141000257,R,2014-01-14,229.85,229.85,2013,040,34900,22103,A08431090,GAS NATURAL SERVICIOS SDG SA,CONSUMO GAS NA RUA FONTES DO SAR ( POLIDEPORTIVO ) PERIODO: 11.09.2012 - 12.11.2012,-,03 - Transferencia Bancaria
220141000258,R,2014-01-14,282.98,282.98,2013,090,13400,22103,A08431090,GAS NATURAL SERVICIOS SDG SA,CONSUMO GAS NA RÚA SAN LÁZARO   ( PROTECCIÓN CIVIL  ) PERIODO : 22.09.2012 - 23.11.2012,-,03 - Transferencia Bancaria
220141000259,R,2014-01-14,348.4,348.4,2013,040,34900,22103,A08431090,GAS NATURAL SERVICIOS SDG SA,CONSUMO GAS NA RÚA RAIMUNDO Gª BOROBO  ( CAMPO FUTBOL SERGAS ) PERIODO : 24.10.2012 - 22.11.2012,-,03 - Transferencia Bancaria
220141000260,R,2014-01-14,607.24,607.24,2013,140,24100,22103,A08431090,GAS NATURAL SERVICIOS SDG SA,PRIMEIRA OPERACION IMPUTADA AO CONCEPTO.CONSUMO GAS NO EDF. CERSIA .- PERIODO: 22.09.2012 - 23.11.2012,-,03 - Transferencia Bancaria
220141000261,R,2014-01-14,770.37,770.37,2013,040,34900,22103,A08431090,GAS NATURAL SERVICIOS SDG SA,CONSUMO GAS NA RUA RAIMUNDO Gª RODRIGUEZ BOROBÓ ( CAMPO FUTBOL SERGAS ) PERIODO: 01/12/2011- 23/12/2011,-,03 - Transferencia Bancaria
220141000262,R,2014-01-14,948.25,948.25,2013,140,23900,22103,A08431090,GAS NATURAL SERVICIOS SDG SA,CONSUMO GAS NA RÚA MANUEL MARIA ( CABES ) PERIODO : 24.10.2012 - 22.11.2012,-,03 - Transferencia Bancaria
220141000263,R,2014-01-14,1036.17,1036.17,2013,140,24100,22699,A08431090,GAS NATURAL SERVICIOS SDG SA,FACTURACIÓN CONSUMO GAS EDIFICIO CERSIA PERIODO: 08/02/2011 - 08/04/2011,-,03 - Transferencia Bancaria
220141000264,R,2014-01-14,1362.19,1362.19,2013,140,23900,22103,A08431090,GAS NATURAL SERVICIOS SDG SA,CONSUMO GAS NA RÚA MANUEL MARIA  ( CABES  ) PERIODO : 23.11.2012 - 19.12.2012,-,03 - Transferencia Bancaria
220141000265,R,2014-01-14,1550.17,1550.17,2013,140,24100,22103,A08431090,GAS NATURAL SERVICIOS SDG SA,FACTURACIÓN CONSUMO GAS NA RÚA ALCALDE RAIMUNDO LOPEZ  ( EDFO. CERSIA  ) PERIODO: 24.11.2012 - 22.01.2013,-,03 - Transferencia Bancaria
220141000266,R,2014-01-14,376.33,376.33,2013,140,23900,22698,B15067861,GRAFICAS GARABAL SL,"IMPRESIONS DE VOLANDEIRAS E CARTEIS PARA """" DIA DO NENO """"",-,03 - Transferencia Bancaria
220141000267,R,2014-01-14,820,820,2013,010,91201,22601,B15998743,JAEL JOYERIA SL,"UN """"MEDALLÓN DE OURO DA CIDADE"""" EN PRATA CHAPADA E ESMALTE",-,03 - Transferencia Bancaria
220141000268,R,2014-01-14,656.79,656.79,2013,040,23202,22698,B70220884,LAU CREACIONES SL,PROGRAMA DE ARTES MUSICAIS E ESCÉNICAS.- DESEÑO E IMPRESION DE CARTEIS E DIPTICOS,-,03 - Transferencia Bancaria
220141000269,R,2014-01-14,148.9,148.9,2013,020,33402,22698,B15315963,LIBRARIA COUCEIRO SL,ADQUISICIÓN DE DIVERSOS LIBROS  EN GALEGO,-,03 - Transferencia Bancaria
220141000270,R,2014-01-14,5265.44,5265.44,2013,070,17200,22698,B24528804,LOCUS AVIS SL,CONTROL POBLACIÓN DE POMBA DOMÉSTICA NA CIDADE DE SANTIAGO . PERIODO: FEBREIRO - DECEMBRO 2013,-,03 - Transferencia Bancaria
220141000271,R,2014-01-14,100,100,2013,040,23202,22698,45846824G,MAGAÑA TERRON JESUS,GRATIFICACIÓN XURADO IMAXINART 2013  ( CONCELLARÍA XUVENTUDE ),-,03 - Transferencia Bancaria
220141000272,R,2014-01-14,1331,1331,2013,020,33402,22698,B70334792,PIC NIC IDEAS FELICES SL,CAMPAÑA DIFUSIÓN PREMIO MANUEL BEIRAS. DESEÑO CARTEL CAMPAÑA.,-,03 - Transferencia Bancaria
220141000273,R,2014-01-14,5000,5000,2013,070,17100,22104,B15043623,POSIMAR SL,ADQUSICIÓN VESTIARIO PARA PERSOAL DE PARQUES E XARDINS,-,03 - Transferencia Bancaria
220141000274,R,2014-01-14,1958.64,1958.64,2013,010,91201,22601,B70199930,PROA PROTOCOLO SL,"BANDERAS DE GALICIA, ESPAÑA, U.E. E SANTIAGO DE COMPOSTELA CON ASTA E  BASE REMATADAS EN LANZA DE LATÓN",-,03 - Transferencia Bancaria
220141000275,R,2014-01-14,2480.21,2480.21,2013,140,23900,22698,33293092V,ROSENDE RICO JOSEFINA CARMEN,"MES DECEMBRO 2013.- ASISTENCIA TÉCN. MESTRE DIPLOMADO PROGRAMA """" REFORZO EDUCATIVO EDUC. ADULTOS CON NECESIDADES  EDUC.",-,03 - Transferencia Bancaria
220141000276,R,2014-01-14,2462.88,2462.88,2013,070,31300,22700,B15643240,SERVICIOS GALLEGOS DE LACERIA SL,SERVIZO DE LACERÍA DO 1 AO 20 DE MAIO DE 2013,-,03 - Transferencia Bancaria
220141000277,R,2014-01-14,2000.13,2000.13,2013,010,92501,22602,B28016970,SOCIEDAD ESPAÑOLA DE RADIODIFUSION SL,"PUBLICIDADE """" LA KALABAZA DE PIPPA """"",-,03 - Transferencia Bancaria
220141000278,R,2014-01-14,3630,3630,2013,010,92501,22602,B28016970,SOCIEDAD ESPAÑOLA DE RADIODIFUSION SL,"PUBLICIDADE """" LIBRO 80 ANIVERSARIO R. GALICIA  """"",-,03 - Transferencia Bancaria
220141000279,R,2014-01-14,96.8,96.8,2013,020,33402,22698,B15354277,TREVISANI SL,"PEGADA  DE CARTEIS """" AXOUXERES"""", REPARTO MARCAPÁXINAS EN CENTROS SOCIOCULTURAIS E CARTEIS """" OS CREBANOCES """"",-,03 - Transferencia Bancaria
220141000280,R,2014-01-14,726,726,2013,020,33402,22698,B15354277,TREVISANI SL,DISTRIBUCIÓN MATERIAL CAMPAÑA REIS MAGOS ( URNAS+CARTAS+OTROS) E RECOLLIDA MATERIAL NOS COLEXIOS,-,03 - Transferencia Bancaria
220141000281,R,2014-01-14,523.1,523.1,2013,120,33403,22700,A66141185,VIAQUA GESTION INTEGRAL DE AGUAS DE GALICIA SAU,"MES NOVEMBRO 2013 .- MANTEMENTO, CLORACIÓN E ANALISE DE AUGA NOS LOCAIS SOCIAIS",-,03 - Transferencia Bancaria
220141000282,R,2014-01-14,523.1,523.1,2013,020,32100,22700,A66141185,VIAQUA GESTION INTEGRAL DE AGUAS DE GALICIA SAU,"MES NOVEMBRO 2013 .- MANTEMENTO, CLORACIÓN E ANALISE DE AUGA NOS COLEXIOS PÚLICOS",-,03 - Transferencia Bancaria
220141000283,R,2014-01-15,1103,1103,2013,140,24100,22699,00000000001,Nóminas persoal municipal,"BOLSAS ALUMNOS/AS PROGRAMA INTEGRADO DE EMPREGO """"SANTIAGO EMPREGO II"""", MES DE DECEMBRO DE 2013.",-,03 - Transferencia Bancaria
220141000284,R,2014-01-15,2022.72,2022.72,2013,140,24100,22697,00000000001,Nóminas persoal municipal,"BOLSAS ALUMNOS/AS PROXECTO PERSOA V, 2ª FASE, MES DE DECEMBRO DE 2013.",-,03 - Transferencia Bancaria
220141000285,R,2014-01-15,79.04,79.04,2013,070,17100,21000,B15039050,AGRICOLA COMPOSTELA SL,SUMINISTRO DE ABONO PARA PARQUES E XARDINS,-,03 - Transferencia Bancaria
220141000286,R,2014-01-15,1879.78,1879.78,2013,040,34900,22104,A15239510,AMANCIO DEPORTES SA,VESTIARIO PARA PERSOAL DE DEPORTES,-,03 - Transferencia Bancaria
220141000287,R,2014-01-15,160.8,160.8,2013,140,23203,48001,G15310667,APA A FERRADURA DE COMPOSTELA CP PIO XII,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO PIO XII MES DE NOVEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000288,R,2014-01-15,160.8,160.8,2013,140,23203,48001,G15310667,APA A FERRADURA DE COMPOSTELA CP PIO XII,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO PIO XII MES DE DECEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000289,R,2014-01-15,193.6,193.6,2013,140,23203,48001,G15310667,APA A FERRADURA DE COMPOSTELA CP PIO XII,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO PIO XII MES DE SETEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000290,R,2014-01-15,200.8,200.8,2013,140,23203,48001,G15310667,APA A FERRADURA DE COMPOSTELA CP PIO XII,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO PIO XII MES DE OUTUBRO DE 2013,-,03 - Transferencia Bancaria
220141000291,R,2014-01-15,40,40,2013,140,23203,48001,G15790991,APA CP LAMAS DE ABADE,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LAMAS DE ABADE MES DE SETEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000292,R,2014-01-15,471.1,471.1,2013,140,23203,48001,G15790991,APA CP LAMAS DE ABADE,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LAMAS DE ABADE MES DE OUTUBRO DE 2013,-,03 - Transferencia Bancaria
220141000293,R,2014-01-15,471.1,471.1,2013,140,23203,48001,G15790991,APA CP LAMAS DE ABADE,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LAMAS DE ABADE MES DE NOVEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000294,R,2014-01-15,471.1,471.1,2013,140,23203,48001,G15790991,APA CP LAMAS DE ABADE,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LAMAS DE ABADE MES DE DECEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000295,R,2014-01-15,336.38,336.38,2013,020,33402,22698,05137235R,ARENAS RAMIREZ FRANCISCO,"KINDLE FIRE 7 """" ( 17 CM ) PANTALLA 2 CD WIFI  8 GB PARA LINGUA GALEGA",-,03 - Transferencia Bancaria
220141000296,R,2014-01-15,468.9,468.9,2013,010,91200,22199,05137235R,ARENAS RAMIREZ FRANCISCO,GRABADORA MARANTZ MODELO PMD-620 MKII PARA PRENSA,-,03 - Transferencia Bancaria
220141000297,R,2014-01-15,2202.2,2202.2,2013,060,15500,60900,B15046253,ARMESA SL,COLOCAR PASAMANS ESCALEIRAS SANTO AGOSTIÑO ( RUA VIRXE DA CERCA- PRAZA DE ABASTOS ),-,03 - Transferencia Bancaria
220141000298,R,2014-01-15,113.6,113.6,2013,140,23203,48001,G15059413,ASOCIACION DE NAIS E PAIS DE ALUMNOS LOPEZ FERREIRO DO CEIP LOPEZ FERREIRO,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LOPEZ FERREIRO MES DE SETEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000299,R,2014-01-15,187.2,187.2,2013,140,23203,48001,G15059413,ASOCIACION DE NAIS E PAIS DE ALUMNOS LOPEZ FERREIRO DO CEIP LOPEZ FERREIRO,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LOPEZ FERREIRO MES DE DECEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000300,R,2014-01-15,187.2,187.2,2013,140,23203,48001,G15059413,ASOCIACION DE NAIS E PAIS DE ALUMNOS LOPEZ FERREIRO DO CEIP LOPEZ FERREIRO,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LOPEZ FERREIRO MES DE NOVEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000301,R,2014-01-15,187.2,187.2,2013,140,23203,48001,G15059413,ASOCIACION DE NAIS E PAIS DE ALUMNOS LOPEZ FERREIRO DO CEIP LOPEZ FERREIRO,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LOPEZ FERREIRO MES DE OUTUBRO DE 2013,-,03 - Transferencia Bancaria
220141000302,R,2014-01-15,992.28,992.28,2013,040,34200,21200,B15823156,CANEDA ELECTRICIDAD SL,"REPARCIONES CANASTAS POLID. PONTE PEDRIÑA E MONTE DOS POSTES, E REPARACIÓN AVARÍA EN BOMBA  AUGA PLACAS SOLARES",-,03 - Transferencia Bancaria
220141000303,R,2014-01-15,599.5,599.5,2013,040,23202,22698,B32401200,CEGAPSE SL,NOVEMBRO E DECEMBRO 2013.- OBRADOIRO DE CONVERSAS EN INGLÉS NO CSC,-,03 - Transferencia Bancaria
220141000304,R,2014-01-15,719.95,719.95,2013,120,33403,22698,B32401200,CEGAPSE SL,MESES DE NOVEMBRO E DECEMBRO 2013.- OBRADOIROS LINGUAS E CULTURA ANGLOAMERICANA E ALEMÁ NOS CSC,-,03 - Transferencia Bancaria
220141000305,R,2014-01-15,3104.2,3104.2,2013,120,33403,22698,B32401200,CEGAPSE SL,"NOVEMBRO E DECEMBRO 2013.- OBRADOIROS LINGUAS E CULTURA ANGLOAMERICANA, ÁRABE ,E ALEMÁ CSC STA. MARTA, ENSANCHE E FONTI",-,03 - Transferencia Bancaria
220141000306,R,2014-01-15,663.98,663.98,2013,020,32100,21200,B15466246,COESISA SL,APERTURA DE GABIA ENTRE CONTADOR E DEPÓSITO AUGA / OUTROS NO CEIP DE A SIONLLA,-,03 - Transferencia Bancaria
220141000307,R,2014-01-15,80,80,2013,140,23203,48001,R1500073J,COLEGIO DE LA COMPAÑIA DE MARIA,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO COMPAÑIA DE MARIA MES DE OUTUBRO DE 2013,-,03 - Transferencia Bancaria
220141000308,R,2014-01-15,240,240,2013,140,23203,48001,R1500073J,COLEGIO DE LA COMPAÑIA DE MARIA,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO COMPAÑIA DE MARIA MES DE DECEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000309,R,2014-01-15,240,240,2013,140,23203,48001,R1500073J,COLEGIO DE LA COMPAÑIA DE MARIA,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO COMPAÑIA DE MARIA MES DE NOVEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000310,R,2014-01-15,288,288,2013,140,23203,48001,Q6555189G,COLEGIO LA MILAGROSA DE SANTIAGO CGA,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LA MILAGROSA MES DE SETEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000311,R,2014-01-15,288,288,2013,140,23203,48001,Q6555189G,COLEGIO LA MILAGROSA DE SANTIAGO CGA,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LA MILAGROSA MES DE NOVEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000312,R,2014-01-15,288,288,2013,140,23203,48001,Q6555189G,COLEGIO LA MILAGROSA DE SANTIAGO CGA,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LA MILAGROSA MES DE OUTUBRO DE 2013,-,03 - Transferencia Bancaria
220141000313,R,2014-01-15,288,288,2013,140,23203,48001,Q6555189G,COLEGIO LA MILAGROSA DE SANTIAGO CGA,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LA MILAGROSA MES DE DECEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000314,R,2014-01-15,440,440,2013,140,23203,48001,R1500083I,COLEGIO LA SALLE EN SANTIAGO HERMANOS DE LAS ESCUELAS CRISTIANAS DISTRITO DE VALLADOLID,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LA SALLE MES DE DECEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000315,R,2014-01-15,440,440,2013,140,23203,48001,R1500083I,COLEGIO LA SALLE EN SANTIAGO HERMANOS DE LAS ESCUELAS CRISTIANAS DISTRITO DE VALLADOLID,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LA SALLE MES DE OUTUBRO DE 2013,-,03 - Transferencia Bancaria
220141000316,R,2014-01-15,440,440,2013,140,23203,48001,R1500083I,COLEGIO LA SALLE EN SANTIAGO HERMANOS DE LAS ESCUELAS CRISTIANAS DISTRITO DE VALLADOLID,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO LA SALLE MES DE NOVEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000317,R,2014-01-15,456,456,2013,140,23203,48001,R1500046F,COLEGIO N S DE LOS REMEDIOS HIJAS DE LA CARIDAD DE SAN VICENTE DE PAUL PROV DE GIJON,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO NUESTRA SEÑORA DE LOS REMEDIOS MES DE SETEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000318,R,2014-01-15,760,760,2013,140,23203,48001,R1500046F,COLEGIO N S DE LOS REMEDIOS HIJAS DE LA CARIDAD DE SAN VICENTE DE PAUL PROV DE GIJON,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO NUESTRA SEÑORA DE LOS REMEDIOS MES DE DECEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000319,R,2014-01-15,760,760,2013,140,23203,48001,R1500046F,COLEGIO N S DE LOS REMEDIOS HIJAS DE LA CARIDAD DE SAN VICENTE DE PAUL PROV DE GIJON,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO NUESTRA SEÑORA DE LOS REMEDIOS MES DE NOVEMBRO DE 2013,-,03 - Transferencia Bancaria
220141000320,R,2014-01-15,760,760,2013,140,23203,48001,R1500046F,COLEGIO N S DE LOS REMEDIOS HIJAS DE LA CARIDAD DE SAN VICENTE DE PAUL PROV DE GIJON,BOLSAS DE COMEDOR ESCOLAR PARA OS ALUMNOS DO COLEXIO NUESTRA SEÑORA DE LOS REMEDIOS MES DE OUTUBRO DE 2013,-,03 - Transferencia Bancaria
220141000321,R,2014-01-15,92.3,92.3,2013,020,32100,22200,Q6555022J,COLEGIO PUBLICO ARQUITECTO CASAS NOVOA,FACTURACION TELEFONICA NUMERO 981888044 PERIODO 1 A 30 DE NOVEMBRO DE 2013,-,03 - Transferencia Bancaria
